continent,country,url
oceania,Australia,https://www.tripadvisor.com/Attractions-g255055-Activities-Australia.html
oceania,French_Polynesia,https://www.tripadvisor.com/Attractions-g294338-Activities-French_Polynesia.html
oceania,New_Zealand,https://www.tripadvisor.com/Attractions-g255104-Activities-New_Zealand.html
oceania,Papua_New_Guinea,https://www.tripadvisor.com/Attractions-g294115-Activities-Papua_New_Guinea.html
asia,Cambodia,https://www.tripadvisor.com/Attractions-g293939-Activities-Cambodia.html
asia,China,https://www.tripadvisor.com/Attractions-g294211-Activities-China.html
asia,India,https://www.tripadvisor.com/Attractions-g293860-Activities-India.html
asia,Indonesia,https://www.tripadvisor.com/Attractions-g294225-Activities-Indonesia.html
asia,Israel,https://www.tripadvisor.com/Attractions-g293977-Activities-Israel.html
asia,Japan,https://www.tripadvisor.com/Attractions-g294232-Activities-Japan.html
asia,Malaysia,https://www.tripadvisor.com/Attractions-g293951-Activities-Malaysia.html
asia,Mongolia,https://www.tripadvisor.com/Attractions-g293955-Activities-Mongolia.html
asia,Nepal,https://www.tripadvisor.com/Attractions-g293889-Activities-Nepal.html
asia,Oman,https://www.tripadvisor.com/Attractions-g294006-Activities-Oman.html
asia,South_Korea,https://www.tripadvisor.com/Attractions-g294196-Activities-South_Korea.html
asia,Thailand,https://www.tripadvisor.com/Attractions-g293915-Activities-Thailand.html
asia,United_Arab_Emirates,https://www.tripadvisor.com/Attractions-g294012-Activities-United_Arab_Emirates.html
africa,Algeria,https://www.tripadvisor.com/Attractions-g293717-Activities-Algeria.html
africa,Angola,https://www.tripadvisor.com/Attractions-g293762-Activities-Angola.html
africa,Botswana,https://www.tripadvisor.com/Attractions-g293766-Activities-Botswana.html
africa,Cote_d_Ivoire,https://www.tripadvisor.com/Attractions-g294192-Activities-Cote_d_Ivoire.html
africa,Egypt,https://www.tripadvisor.com/Attractions-g294200-Activities-Egypt.html
africa,Kenya,https://www.tripadvisor.com/Attractions-g294206-Activities-Kenya.html
africa,Gambia,https://www.tripadvisor.com/Attractions-g293794-Activities-Gambia.html
africa,Madagascar,https://www.tripadvisor.com/Attractions-g293808-Activities-Madagascar.html
africa,Morocco,https://www.tripadvisor.com/Attractions-g293730-Activities-Morocco.html
africa,Namibia,https://www.tripadvisor.com/Attractions-g293820-Activities-Namibia.html
africa,Senegal,https://www.tripadvisor.com/Attractions-g293830-Activities-Senegal.html
africa,Sierra_Leone,https://www.tripadvisor.com/Attractions-g293832-Activities-Sierra_Leone.html
africa,South_Africa,https://www.tripadvisor.com/Attractions-g293740-Activities-South_Africa.html
africa,Tanzania,https://www.tripadvisor.com/Attractions-g293747-Activities-Tanzania.html
sa,Argentina,https://www.tripadvisor.com/Attractions-g294266-Activities-Argentina.html
sa,Brazil,https://www.tripadvisor.com/Attractions-g294280-Activities-Brazil.html
sa,Chile,https://www.tripadvisor.com/Attractions-g294291-Activities-Chile.html
sa,Peru,https://www.tripadvisor.com/Attractions-g294311-Activities-Peru.html
na,Belize,https://www.tripadvisor.com/Attractions-g291959-Activities-Belize.html
na,Canada,https://www.tripadvisor.com/Attractions-g153339-Activities-Canada.html
na,Cayman_Islands,https://www.tripadvisor.com/Attractions-g147364-Activities-Cayman_Islands.html
na,Costa_Rica,https://www.tripadvisor.com/Attractions-g291982-Activities-Costa_Rica.html
na,Cuba,https://www.tripadvisor.com/Attractions-g147270-Activities-Cuba.html
na,Curacao,https://www.tripadvisor.com/Attractions-g147277-Activities-Curacao.html
na,Greenland,https://www.tripadvisor.com/Attractions-g295111-Activities-Greenland.html
na,Grenada,https://www.tripadvisor.com/Attractions-g147295-Activities-Grenada.html
na,Honduras,https://www.tripadvisor.com/Attractions-g292016-Activities-Honduras.html
na,Mexico,https://www.tripadvisor.com/Attractions-g150768-Activities-Mexico.html
na,Nicaragua,https://www.tripadvisor.com/Attractions-g294477-Activities-Nicaragua.html
na,Panama,https://www.tripadvisor.com/Attractions-g294479-Activities-Panama.html
na,United_States,https://www.tripadvisor.com/Attractions-g191-Activities-United_States.html
europe,Austria,https://www.tripadvisor.com/Attractions-g190410-Activities-Austria.html
europe,Bulgaria,https://www.tripadvisor.com/Attractions-g294451-Activities-Bulgaria.html
europe,Czech_Republic,https://www.tripadvisor.com/Attractions-g274684-Activities-Czech_Republic.html
europe,Denmark,https://www.tripadvisor.com/Attractions-g189512-Activities-Denmark.html
europe,Estonia,https://www.tripadvisor.com/Attractions-g274952-Activities-Estonia.html
europe,Finland,https://www.tripadvisor.com/Attractions-g189896-Activities-Finland.html
europe,France,https://www.tripadvisor.com/Attractions-g187070-Activities-France.html
europe,Germany,https://www.tripadvisor.com/Attractions-g187275-Activities-Germany.html
europe,Greece,https://www.tripadvisor.com/Attractions-g189398-Activities-Greece.html
europe,Hungary,https://www.tripadvisor.com/Attractions-g274881-Activities-Hungary.html
europe,Iceland,https://www.tripadvisor.com/Attractions-g189952-Activities-Iceland.html
europe,Italy,https://www.tripadvisor.com/Attractions-g187768-Activities-Italy.html
europe,Norway,https://www.tripadvisor.com/Attractions-g190455-Activities-Norway.html
europe,Portugal,https://www.tripadvisor.com/Attractions-g189100-Activities-Portugal.html
europe,Romania,https://www.tripadvisor.com/Attractions-g294457-Activities-Romania.html
europe,Russia,https://www.tripadvisor.com/Attractions-g294459-Activities-Russia.html
europe,Serbia,https://www.tripadvisor.com/Attractions-g294471-Activities-Serbia.html
europe,Spain,https://www.tripadvisor.com/Attractions-g187427-Activities-Spain.html
europe,Sweden,https://www.tripadvisor.com/Attractions-g189806-Activities-Sweden.html
europe,Turkey,https://www.tripadvisor.com/Attractions-g293969-Activities-Turkey.html
europe,United_Kingdom,https://www.tripadvisor.com/Attractions-g186216-Activities-United_Kingdom.html
